"0x8b0890","CP","Object type (Plist)","Palette (Plist)","Tile Config (Plist)","Map Pointer (Plist)","Tile Animation 1","Tile Animation 2","Map Changes (Plist)","Fog level","Enable Battle Prep? (X)","Chapter Title","Chapter title image 2 (X).","Initial coord","B17","Weather","Battle Backgrounds","Difficulty","Player Phase BGM","Enemy Phase BGM","NPC BGM","Player Phase BGM 2 (X)","Enemy Phase BGM 2 (X)","NPC BGM 2 (X)","Player Phase BGM Flag 4","Enemy Phase BGM Flag 4","???","???","???","Destructible Wall HP","B45","B46","B47","B48","B49","B50","B51","B52","B53","B54","B55","B56","B57","B58","B59","B60","??","W62","W64","W66","W68","W70","W72","W74","W76","W78","W80","W82","W84","W86","W88","W90","W92","??","D96","D100","D104","D108","Map Name 1","Map Name 2 (X)","Event ID (Plist)","World Map Event","??","B119","B120","B121","??","B123","B124","B125","??","B127","Chapter ID","??","B130","B131","??","B133","VictoryBGM(# Foes Left)","Dark Before Initial Event","Clear Condition","Detailed Clear Condition","Mini-Objective Display","Turns to Defend","Unit to Defend","Withdrawal Point","B144","??","??","??"
"0x0A Ch9 Distant Blade","0x81c32f0","0xe","0xf","0x10","0x2b","0x12","0x0","0x2c","0x0","0x0","0xa","0x0","20","4","0x0","0x6","0x234","0xa","0x14","0xf","0xa","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x16a","0x16a","0x2d","0xb","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",20,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1ac","0x19e","0x1","0","0x0","255","0","0x7","0x0","0x0"
"0x0B Ch10 Revolt at Carcino","0x81c32f4","0x2e","0x2f","0x30","0x31","0x0","0x0","0x32","0x0","0x0","0xb","0x0","8","15","0x0","0x12","0x234","0xa","0x14","0xf","0xa","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x16b","0x16b","0x33","0xc","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",22,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1ad","0x19f","0x0","0","0x0","255","0","0x1d","0x0","0x0"
"0x0C Ch12 Village of Silence","0x81c32f8","0x2e","0x34","0x30","0x35","0x0","0x0","0x36","0x0","0x0","0xc","0x0","8","22","0x0","0x12","0x234","0xa","0x14","0xf","0xa","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x16c","0x16c","0x37","0xd","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",24,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1af","0x19e","0x1","0","0x0","255","0","0x1d","0x0","0x0"
"0x0D Ch13 Hamill Canyon","0x81c32fc","0x1","0x38","0x3","0x39","0x5","0x0","0x3a","0x0","0x0","0xd","0x0","8","8","0x0","0x0","0x234","0xa","0x14","0xf","0xa","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x16d","0x16d","0x3b","0xe","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",26,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b0","0x19c","0x2","0","0x0","255","0","0x18","0x0","0x0"
"0x0E Ch14 Queen of White Dunes","0x81c3300","0x3c","0x3d","0x3e","0x3f","0x0","0x0","0x40","0x0","0x0","0xe","0x0","1","0","0x0","0xc","0x234","0xa","0x14","0xf","0xa","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x16e","0x16e","0x41","0xf","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",28,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b1","0x1a1","0x0","0","0x0","255","0","0x2a","0x0","0x0"
"0x0F Ch15 Scorched Sand","0x81c3304","0x42","0x43","0x44","0x45","0x5","0x0","0x46","0x0","0x0","0xf","0x0","13","6","0x0","0x9","0x234","0xa","0x14","0xf","0xa","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x16f","0x16f","0x47","0x10","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",30,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b2","0x19e","0x1","0","0x0","255","0","0x30","0x0","0x0"
"0x10 Ch16 Ruled by Madness","0x81c3308","0x18","0x48","0x1a","0x49","0x1c","0x0","0x4a","0x0","0x0","0x10","0x0","1","0","0x0","0x10","0x244","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x170","0x170","0x4b","0x11","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",32,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b3","0x1a1","0x0","0","0x0","255","0","0xc","0x0","0x0"
"0x11 Ch17 River of Regrets","0x81c330c","0x1","0x4c","0x3","0x4d","0x5","0x0","0x4e","0x0","0x0","0x11","0x0","1","0","0x0","0x14","0x244","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x171","0x171","0x4f","0x12","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",34,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b4","0x19d","0x3","0","0x0","255","0","0x18","0x0","0x0"
"0x12 Ch18 Two Faces of Evil","0x81c3310","0x50","0x51","0x52","0x53","0x0","0x54","0x55","0x0","0x0","0x12","0x0","1","27","0x0","0x2","0x244","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x172","0x172","0x56","0x13","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",36,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b5","0x19e","0x1","0","0x0","255","0","0x32","0x0","0x0"
"0x13 Ch19 Last Hope","0x81c3314","0x18","0x57","0x1a","0x58","0x1c","0x0","0x59","0x3","0x0","0x13","0x0","17","11","0x0","0x11","0x244","0x11","0x18","0x11","0x11","0x18","0x11","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x173","0x173","0x5a","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",38,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b6","0x19c","0x2","0","0x0","255","0","0xb","0x0","0x0"
"0x14 Ch20 Darkling Woods","0x81c3318","0x1","0x5b","0x3","0x5c","0x5","0x0","0x5d","0x0","0x0","0x14","0x0","12","12","0x0","0xd","0x244","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x174","0x174","0x5e","0x15","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",40,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b7","0x1a0","0x0","0","0x0","255","0","0x31","0x0","0x0"
"0x15 Ch21 Sacred Stone","0x81c331c","0x5f","0x60","0x61","0x62","0x0","0x0","0x63","0x0","0x0","0x15","0x0","12","20","0x0","0xd","0x244","0xe","0x16","0xf","0xe","0x16","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x175","0x175","0x64","0x16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",42,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b8","0x19d","0x3","0","0x0","255","0","0x34","0x0","0x0"
"0x16 Ch22 Sacred Stone","0x81c3320","0x5f","0x60","0x61","0x65","0x0","0x0","0x66","0x0","0x0","0x16","0x0","12","6","0x0","0xd","0x244","0x45","0x16","0xf","0x45","0x16","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x176","0x176","0x67","0x17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",44,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b9","0x19d","0x3","0","0x0","255","0","0x34","0x0","0x0"
"0x17 Ch23 Fort Rigwald","0x81c3328","0x3c","0x68","0x3e","0x69","0x0","0x0","0x6a","0x0","0x0","0x17","0x0","19","10","0x0","0xa","0x234","0xc","0x14","0xf","0xc","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x177","0x177","0x6b","0x18","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",46,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1ba","0x1a1","0x0","0","0x0","255","0","0x26","0x0","0x0"
"0x18 Ch24 Turning Traitor","0x81c332c","0x6c","0x6d","0x6e","0x6f","0x5","0x0","0x70","0x0","0x0","0x18","0x0","1","0","0x0","0x13","0x234","0xc","0x14","0xf","0xc","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x178","0x178","0x71","0x19","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",48,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1bb","0x19c","0x2","0","0x0","255","0","0x7","0x0","0x0"
"0x19 Ch26 Landing at Taizel","0x81c3330","0xe","0x72","0x10","0x73","0x12","0x0","0x74","0x0","0x0","0x19","0x0","8","21","0x0","0x7","0x234","0xc","0x14","0xf","0xc","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x179","0x179","0x75","0x1a","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",50,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1bd","0x19d","0x3","0","0x0","255","0","0x7","0x0","0x0"
"0x1A Ch27 Fluorspar's Oath","0x81c3334","0x1","0x2","0x3","0x76","0x5","0x0","0x77","0x0","0x0","0x1a","0x0","15","14","0x0","0x0","0x234","0xc","0x14","0xf","0xc","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x17a","0x17a","0x78","0x1b","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1be","0x19e","0x1","0","0x0","255","0","0x18","0x0","0x0"
"0x1B Ch28 Father and Son","0x81c3338","0x79","0x7a","0x7b","0x7c","0x7d","0x0","0x7e","0x0","0x0","0x1b","0x0","1","0","0x0","0xf","0x234","0xc","0x14","0xf","0xc","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x17b","0x17b","0x7f","0x1c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1bf","0x1a1","0x0","0","0x0","255","0","0xc","0x0","0x0"
"0x1C Ch29 Scorched Sand","0x81c333c","0x42","0x43","0x44","0x45","0x5","0x0","0x46","0x0","0x0","0x1c","0x0","13","4","0x0","0x9","0x244","0xc","0x14","0xf","0xc","0x14","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x17c","0x17c","0x80","0x1d","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b2","0x19e","0x1","0","0x0","255","0","0x30","0x0","0x0"
"0x1D Ch30 Ruled by Madness","0x81c3340","0x18","0x48","0x1a","0x49","0x1c","0x0","0x4a","0x0","0x0","0x1d","0x0","1","0","0x0","0x10","0x244","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x17d","0x17d","0x81","0x1e","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b3","0x1a1","0x0","0","0x0","255","0","0xc","0x0","0x0"
"0x1E Ch31 River of Regrets","0x81c3344","0x1","0x4c","0x3","0x4d","0x5","0x0","0x4e","0x0","0x0","0x1e","0x0","1","0","0x0","0x14","0x244","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x17e","0x17e","0x82","0x1f","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b4","0x19d","0x3","0","0x0","255","0","0x18","0x0","0x0"
"0x1F Ch32 Two Faces of Evil","0x81c3348","0x50","0x51","0x52","0x53","0x0","0x54","0x55","0x0","0x0","0x1f","0x0","1","27","0x0","0x2","0x244","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x17f","0x17f","0x83","0x20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b5","0x19e","0x1","0","0x0","255","0","0x32","0x0","0x0"
"0x20 Ch33 Last Hope","0x81c334c","0x18","0x57","0x1a","0x58","0x1c","0x0","0x59","0x3","0x0","0x20","0x0","17","11","0x0","0x11","0x244","0x11","0x18","0x11","0x11","0x18","0x11","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x180","0x180","0x84","0x21","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b6","0x19c","0x2","0","0x0","255","0","0xc","0x0","0x0"
"0x21 Ch34 Darkling Woods","0x81c3350","0x1","0x5b","0x3","0x5c","0x5","0x0","0x5d","0x0","0x0","0x21","0x0","12","12","0x0","0xd","0x244","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x181","0x181","0x85","0x22","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b7","0x1a0","0x0","0","0x0","255","0","0x31","0x0","0x0"
"0x22 Ch35 Sacred Stone","0x81c3354","0x5f","0x60","0x61","0x62","0x0","0x0","0x63","0x0","0x0","0x22","0x0","12","20","0x0","0xd","0x244","0xe","0x16","0xf","0xe","0x16","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x182","0x182","0x86","0x23","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b8","0x19d","0x3","0","0x0","255","0","0x34","0x0","0x0"
"0x23 Ch36 Sacred Stone","0x81c3358","0x5f","0x60","0x61","0x65","0x0","0x0","0x66","0x0","0x0","0x23","0x0","12","6","0x0","0xd","0x244","0x45","0x16","0xf","0x45","0x16","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x183","0x183","0x87","0x24","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1b9","0x19d","0x3","0","0x0","255","0","0x34","0x0","0x0"
"0x24 Ch1 Tower of Valni 1","0x81c3360","0x88","0x89","0x8a","0x8b","0x0","0x0","0x8c","0x0","0x0","0x24","0x0","1","0","0x0","0xb","0x234","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x184","0x184","0x8d","0x25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
